"","SampleID","Age","Status"
"HEART201","HEART201","Aged","Surviving"
"HEART206","HEART206","Aged","Surviving"
"HEART209","HEART209","Aged","Dying"
"HEART210","HEART210","Aged","Dying"
"HEART211","HEART211","Young","Dying"
"HEART213","HEART213","Young","Surviving"
"HEART214","HEART214","Young","Dying"
"HEART215","HEART215","Young","Surviving"
"HEART216","HEART216","Young","Surviving"
"HEART219","HEART219","Young","Surviving"
"HEART222","HEART222","Young","Surviving"
"HEART223","HEART223","Young","Dying"
"HEART229","HEART229","Young","Dying"
"HEART230","HEART230","Young","Dying"
"HEART70","HEART70","Aged","Dying"
"HEART72","HEART72","Aged","Dying"
"HEART73","HEART73","Aged","Surviving"
"HEART75","HEART75","Aged","Surviving"
"HEART967","HEART967","Young","Uninfected"
"HEART968","HEART968","Young","Uninfected"
"HEART969","HEART969","Young","Uninfected"
"HEART973","HEART973","Aged","Uninfected"
"HEART974","HEART974","Aged","Uninfected"
"HEART975","HEART975","Aged","Uninfected"
